Ort;BIRMENSTORF;BIRMENSTORF;BIRMENSTORF;BIRMENSTORF;BIRMENSTORF
Parameter;Temperatur mittel;Rel. Feuchte mittel;Niederschlag;Windgeschwindigkeit mittel;Globalstrahlung
Einheit;ºC;%;mm;m/sec;WH/m2
01.01.2018 00:00;7.7;81.9;0;4.2;0
01.01.2018 00:10;7.5;82.7;0;4.2;0
01.01.2018 00:20;7.6;84.5;0;4.1;0
01.01.2018 00:30;7.6;85;0;2;0
01.01.2018 00:40;7.2;86.2;0;1.3;0
01.01.2018 00:50;6.8;87.7;0;1.2;0
01.01.2018 01:00;6.5;89.1;0.2;2.2;0
01.01.2018 01:10;6.3;90.5;0.2;1.7;0
01.01.2018 01:20;6.3;91.8;0.2;2.4;0
01.01.2018 01:30;6.3;92.6;0.2;1.5;0
01.01.2018 01:40;6.5;93;0;5;0
01.01.2018 01:50;6.4;91.2;0.4;5.9;0
01.01.2018 02:00;6.1;89.6;0.2;4.4;0
01.01.2018 02:10;5.8;88.5;0.2;4.2;0
01.01.2018 02:20;5.7;88.4;0.2;3.4;0
01.01.2018 02:30;5.5;89.4;0.2;5;0
01.01.2018 02:40;5.3;90.2;0;5.3;0
01.01.2018 02:50;5.2;91;0.2;4.3;0
01.01.2018 03:00;5;91.6;0;5;0
01.01.2018 03:10;4.9;92;0;5.5;0
01.01.2018 03:20;4.9;92.2;0;5.2;0
01.01.2018 03:30;5;92;0;4.4;0
01.01.2018 03:40;4.9;91.8;0;4.3;0
01.01.2018 03:50;4.9;91.7;0;4.5;0
01.01.2018 04:00;4.8;91.6;0;4.7;0
01.01.2018 04:10;4.8;91.5;0;5.2;0
01.01.2018 04:20;5;91;0;4.7;0
01.01.2018 04:30;4.9;90.4;0;5.2;0
01.01.2018 04:40;4.9;90.1;0;6.2;0
01.01.2018 04:50;4.8;89.8;0;6.5;0
01.01.2018 05:00;4.8;89.3;0;7;0
01.01.2018 05:10;4.6;88.8;0;7.5;0
01.01.2018 05:20;4.4;88.7;0;7;0
01.01.2018 05:30;4.1;88.9;0;6.4;0
01.01.2018 05:40;4;89.3;0;6.6;0
01.01.2018 05:50;3.9;89.6;0;5.6;0
01.01.2018 06:00;3.9;90;0;4.6;0
01.01.2018 06:10;3.9;90.2;0;4.5;0
01.01.2018 06:20;3.9;90.6;0;4.3;0
01.01.2018 06:30;3.9;90.8;0;5.2;0
01.01.2018 06:40;3.9;91.1;0.2;4.5;0
01.01.2018 06:50;3.9;91.8;0;4.2;0
01.01.2018 07:00;4.1;92.3;0;6.4;0
01.01.2018 07:10;4.2;92.5;0;6.1;0
01.01.2018 07:20;4.2;92.4;0;5.1;1
01.01.2018 07:30;4.1;92.5;0;5.3;1
01.01.2018 07:40;4;92.4;0;5.7;1
01.01.2018 07:50;3.8;92.3;0;5.6;2
01.01.2018 08:00;3.6;92.4;0;7.7;2
01.01.2018 08:10;3.5;92.3;0;6.6;3
01.01.2018 08:20;3.5;92.3;0;6.7;4
01.01.2018 08:30;3.8;92.5;0;6.5;6
01.01.2018 08:40;4;92.2;0;6.1;6
01.01.2018 08:50;4.1;92;0;5.3;10
01.01.2018 09:00;4.3;91.8;0;4.3;10
01.01.2018 09:10;4.7;91;0;5.2;22
01.01.2018 09:20;5.3;90;0;4.5;37
01.01.2018 09:30;5.8;89.1;0;4.5;46
01.01.2018 09:40;6.1;87.8;0;5.5;46
01.01.2018 09:50;6;86.3;0;5.2;42
01.01.2018 10:00;6.2;85.5;0;4;56
01.01.2018 10:10;6.4;84.3;0;4.4;33
01.01.2018 10:20;5.9;84.8;0;4.7;43
01.01.2018 10:30;6.5;84;0;4.4;59
01.01.2018 10:40;7;82.6;0;4.9;61
01.01.2018 10:50;7.2;81.3;0;4.6;53
01.01.2018 11:00;7.2;80;0;4.6;57
01.01.2018 11:10;7.2;79.8;0;5.2;65
01.01.2018 11:20;7.4;79.6;0;5.8;77
01.01.2018 11:30;7.6;78.9;0;5.1;68
01.01.2018 11:40;7.9;77.5;0;5.5;68
01.01.2018 11:50;7.5;76.2;0;5.9;54
01.01.2018 12:00;7.6;76;0;5.1;70
01.01.2018 12:10;8.2;74;0;6.2;71
01.01.2018 12:20;8.2;72.2;0;6;62
01.01.2018 12:30;8.1;71.7;0;5.9;59
01.01.2018 12:40;8.2;71.7;0;6.5;65
01.01.2018 12:50;8.1;71.8;0;5.7;50
01.01.2018 13:00;7.7;72.6;0;6.7;42
01.01.2018 13:10;7.2;72.6;0;6.6;26
01.01.2018 13:20;7;73;0;7.4;21
01.01.2018 13:30;6.7;73.2;0;6.2;13
01.01.2018 13:40;6.6;73;0;7.2;12
01.01.2018 13:50;6.9;72.5;0;5.3;24
01.01.2018 14:00;6.9;71.5;0;4.7;12
01.01.2018 14:10;6.7;71.7;0;4.5;7
01.01.2018 14:20;6.6;72.1;0;4.7;5
01.01.2018 14:30;6.5;72.6;0;4.7;3
01.01.2018 14:40;6.5;73.3;0;3.7;6
01.01.2018 14:50;6.4;73.8;0;5.6;9
01.01.2018 15:00;6.2;74.4;0;5;5
01.01.2018 15:10;6;75;0;5.4;2
01.01.2018 15:20;5.9;75.7;0;5.2;1
01.01.2018 15:30;5.9;75.6;0;6;1
01.01.2018 15:40;5.9;75.6;0;5.8;1
01.01.2018 15:50;5.9;75.2;0;5.5;0
01.01.2018 16:00;5.8;75.3;0;6.6;0
01.01.2018 16:10;5.9;74.7;0;5.9;0
01.01.2018 16:20;5.9;74.4;0;6.7;0
01.01.2018 16:30;5.8;74.8;0;7.1;0
01.01.2018 16:40;5.4;77;0;7;0
01.01.2018 16:50;5.4;77.7;0;7.1;0
01.01.2018 17:00;5.3;78.3;0;5.9;0
01.01.2018 17:10;5.2;79.1;0;6.2;0
